protein1,protein2,score,disease
TNFRSF1A,NFKB1,0.848,Hepatitis A
TNFRSF1A,CASP8,0.998,Hepatitis A
TNFRSF1A,TAB2,0.998,Hepatitis A
TNFRSF1A,TRADD,0.999,Hepatitis A
TNFRSF1A,TNF,0.999,Hepatitis A
TNFRSF1A,CHUK,0.999,Hepatitis A
TNFRSF1A,RIPK1,0.999,Hepatitis A
TNFRSF1A,TRAF2,0.999,Hepatitis A
TNFRSF1A,TNFRSF1B,0.999,Hepatitis A
TNFRSF1A,MAP3K7,0.999,Hepatitis A
NFKB1,CASP8,0.664,Hepatitis A
NFKB1,TRAF2,0.718,Hepatitis A
NFKB1,TNFRSF1B,0.731,Hepatitis A
NFKB1,TRADD,0.756,Hepatitis A
NFKB1,MAP3K7,0.769,Hepatitis A
NFKB1,TAB2,0.893,Hepatitis A
NFKB1,RIPK1,0.895,Hepatitis A
NFKB1,TNF,0.999,Hepatitis A
NFKB1,CHUK,0.999,Hepatitis A
TRAF2,MAP3K7,0.988,Hepatitis A
TRAF2,TAB2,0.994,Hepatitis A
TRAF2,CASP8,0.994,Hepatitis A
TRAF2,TNFRSF1B,0.994,Hepatitis A
TRAF2,CHUK,0.995,Hepatitis A
TRAF2,TNF,0.999,Hepatitis A
TRAF2,TRADD,0.999,Hepatitis A
TRAF2,RIPK1,0.999,Hepatitis A
RIPK1,TNFRSF1B,0.505,Hepatitis A
RIPK1,MAP3K7,0.996,Hepatitis A
RIPK1,CHUK,0.998,Hepatitis A
RIPK1,CASP8,0.999,Hepatitis A
RIPK1,TAB2,0.999,Hepatitis A
RIPK1,TNF,0.999,Hepatitis A
RIPK1,TRADD,0.999,Hepatitis A
TRADD,TNFRSF1B,0.939,Hepatitis A
TRADD,TAB2,0.976,Hepatitis A
TRADD,MAP3K7,0.976,Hepatitis A
TRADD,CHUK,0.984,Hepatitis A
TRADD,CASP8,0.999,Hepatitis A
TRADD,TNF,0.999,Hepatitis A
CASP8,TAB2,0.465,Hepatitis A
CASP8,TNFRSF1B,0.484,Hepatitis A
CASP8,MAP3K7,0.747,Hepatitis A
CASP8,CHUK,0.95,Hepatitis A
CASP8,TNF,0.999,Hepatitis A
TAB2,CHUK,0.991,Hepatitis A
TAB2,MAP3K7,0.999,Hepatitis A
TAB2,TNF,0.999,Hepatitis A
MAP3K7,CHUK,0.994,Hepatitis A
MAP3K7,TNF,0.999,Hepatitis A
CHUK,TNFRSF1B,0.529,Hepatitis A
CHUK,TNF,0.999,Hepatitis A
TNFRSF1B,TNF,0.999,Hepatitis A
DCN,LTBP3,0.405,Hepatitis B
DCN,TGFBR1,0.428,Hepatitis B
DCN,TGFBR2,0.43,Hepatitis B
DCN,TGFBR3,0.481,Hepatitis B
DCN,ENG,0.55,Hepatitis B
DCN,LTBP1,0.6,Hepatitis B
DCN,TGFB1,0.999,Hepatitis B
TGFBR3,TGFBR1,0.977,Hepatitis B
TGFBR3,TGFBR2,0.986,Hepatitis B
TGFBR3,TGFB1,0.997,Hepatitis B
TGFB1,ITGAV,0.994,Hepatitis B
TGFB1,LRRC32,0.995,Hepatitis B
TGFB1,LTBP3,0.996,Hepatitis B
TGFB1,LTBP4,0.997,Hepatitis B
TGFB1,ENG,0.998,Hepatitis B
TGFB1,TGFBR1,0.999,Hepatitis B
TGFB1,LTBP1,0.999,Hepatitis B
TGFB1,TGFBR2,0.999,Hepatitis B
ITGAV,TGFBR1,0.4,Hepatitis B
ITGAV,TGFBR2,0.434,Hepatitis B
ITGAV,LTBP3,0.575,Hepatitis B
ITGAV,ENG,0.624,Hepatitis B
ITGAV,LTBP1,0.671,Hepatitis B
LTBP3,LTBP4,0.728,Hepatitis B
